Module,RegName,Address,DefaultValue,BitRange,Direction,Description
ACTIVE,pll_lfvbias_1vh,0x50108000,5,(0:3),R/W,Digital control to choose the Vctrl  value from a voltage divider in VCO calibration mode (from 0.2V to 0.8V with step 0.05V)
ACTIVE,pll_vcoigmboost_1vh,0x50108000,1,(4:4),R/W,Boost the current in constant gm cell when itâ€™s HIGH
ACTIVE,pll_cpbiassel_1vh,0x50108000,1,(5:5),R/W,0: Current Bias from VCO Bias cell 1: Current Bias from HP BGAP cell
ACTIVE,pll_1stpdivword_1vh,0x50108000,4,(6:8),R/W,Digital word to choose the division ratio for the MMD of the First post divider. '0' corresponds to division ratio of 8  7 corresponds to 15
ACTIVE,pll_1stpdivmode_1vh,0x50108000,0,(9:9),R/W,Control word for the first post divider mode. '0' indicates Integer division mode while '1' indicates Fractional mode
ACTIVE,pll_2ndpdiven_1vh,0x50108000,0,(10:10),R/W,Enable for the Second post divider
ACTIVE,pll_1stpdivbin2or3div_1vh,0x50108000,0,(11:11),R/W,Control Word for the first stage of the binary divider inside the First post divider. '0' means divide by 2 while '1' means divide by 3
ACTIVE,pll_1stpdivadcconvclken_1vh,0x50108000,0,(12:12),R/W,Enable for the 1st post divider O/P Clock Buffer going to ADC Conversion Clock with Frequency 16x Fc = 216.96 MHz
ACTIVE,pll_1stpdivdigclk16fcen_1vh,0x50108000,1,(13:13),R/W,Enable for the 1st post divider O/P Clock Buffer going to Digital with Frequency 16x Fc = 216.96 MHz
ACTIVE,pll_2ndpdivadcconvclken_1vh,0x50108000,0,(14:14),R/W,Enable for the 2nd post divider O/P Clock Buffer going to ADC Conversion Clock with Frequency 16x Fc = 216.96 MHz
ACTIVE,pll_2ndpdivdigclk12fcen_1vh,0x50108000,0,(15:15),R/W,Enable for the 2nd post divider O/P Clock Buffer going to Digital with Frequency 12x Fc = 162.72 MHz
ACTIVE,pll_2ndpdivdigclk16fcen_1vh,0x50108000,0,(16:16),R/W,Enable for the 2nd post divider O/P Clock Buffer going to Digital with Frequency 16x Fc = 216.96 MHz
ACTIVE,pll_pdivpbpdclk1fcen_1vh,0x50108000,0,(17:17),R/W,Enable for the 1st post divider O/P Clock Buffer going to Phase-Based Pause Detector (PBPD) Clock with Frequency 1x Fc = 13.56 MHz
