sequence,sub_seq,fps,start,end,frames,start_n,end_n,dur,SV,ARC,LR,FM,FOC,POC,OV,BC,IV,VC,CM,SOB
bike1,bike1,30,000001,003085,3085,1,3085,103,1,1,0,1,0,0,0,0,1,1,1,1
bike2,bike2,30,000001,000553,553,1,553,18,1,1,1,0,1,1,0,1,1,0,0,0
bike3,bike3,30,000001,000433,433,1,433,14,1,0,1,0,0,1,0,0,0,0,0,0
bird1,bird1_1,30,000001,000253,253,1,253,8,1,1,1,1,1,1,1,0,0,0,0,0
bird1,bird1_2,30,000775,001477,703,775,1477,23,1,1,1,1,1,1,1,0,0,0,0,0
bird1,bird1_3,30,001573,002437,865,1573,2437,29,1,1,1,1,1,1,1,0,0,0,1,0
boat1,boat1,30,003001,003901,901,1,901,30,1,0,0,0,0,0,0,0,0,0,0,0
boat2,boat2,30,004003,004801,799,1,799,27,1,0,0,0,0,0,0,0,0,0,0,0
boat3,boat3,30,006499,007399,901,1,901,30,1,1,0,0,0,0,0,0,0,1,0,0
boat4,boat4,30,007699,008251,553,1,553,18,1,1,0,0,0,0,0,0,1,1,0,0
boat5,boat5,30,008599,009103,505,1,505,17,1,1,0,0,0,0,0,0,0,1,0,0
boat6,boat6,30,000001,000805,805,1,805,27,1,0,0,0,0,0,0,0,0,0,0,0
boat7,boat7,96,000001,001709,535,1,535,18,1,1,0,1,0,0,0,0,0,1,1,0
boat8,boat8,96,000001,002189,685,1,685,23,1,1,1,0,0,0,0,0,0,1,0,0
boat9,boat9,96,000001,004474,1399,1,1399,47,1,1,1,0,0,1,0,0,0,1,0,0
building1,building1,30,000001,000469,469,1,469,16,0,0,0,0,0,0,0,0,0,0,0,0
building2,building2,30,000001,000577,577,1,577,19,1,0,0,0,0,0,0,0,0,0,0,0
building3,building3,30,000001,000829,829,1,829,28,1,0,0,0,0,0,0,0,0,0,0,1
building4,building4,30,000001,000787,787,1,787,26,0,0,0,0,0,0,0,0,0,0,0,0
building5,building5,96,000001,001537,481,1,481,16,0,0,0,0,0,0,0,0,0,0,1,0
car1,car1_1,96,000596,002996,751,1,751,25,1,0,0,0,0,0,0,0,0,0,1,1
car1,car1_2,96,002996,005799,877,751,1627,29,1,1,1,0,1,1,0,0,0,1,1,1
car1,car1_3,96,005799,009005,1003,1627,2629,33,1,1,0,0,1,1,1,0,0,1,0,1
car2,car2,96,010004,014228,1321,1,1321,44,1,1,1,0,1,1,1,0,0,0,1,1
car3,car3,96,015015,020506,1717,1,1717,57,1,0,1,0,0,1,1,0,0,0,1,1
car4,car4,96,024999,029299,1345,1,1345,45,1,1,1,0,0,1,0,0,0,0,1,1
car5,car5,96,001345,003725,745,1,745,25,1,0,0,0,0,0,0,0,0,0,0,0
car6,car6_1,96,004455,006010,487,1,487,16,1,0,0,0,0,0,0,0,0,0,0,0
car6,car6_2,96,006010,010234,1321,487,1807,44,1,1,0,0,0,1,1,0,0,1,1,0
car6,car6_3,96,010234,013901,1147,1807,2953,38,1,1,0,0,0,0,0,0,1,1,0,1
car6,car6_4,96,013901,017012,973,2953,3925,32,1,0,0,0,0,0,0,0,1,1,1,1
car6,car6_5,96,017012,020007,937,3925,4861,31,1,1,0,0,0,1,1,0,0,1,1,0
car7,car7,96,000500,003802,1033,1,1033,34,1,1,0,0,1,1,0,0,0,1,0,1
car8,car8_1,96,006260,010599,1357,1,1357,45,1,1,0,0,0,1,1,0,0,1,1,1
car8,car8_2,96,010599,014496,1219,1357,2575,41,1,0,0,0,0,0,0,0,1,0,0,1
car9,car9,96,016493,022502,1879,1,1879,63,1,1,1,1,0,1,0,0,0,0,1,1
car10,car10,96,025498,029990,1405,1,1405,47,1,0,0,0,0,1,0,0,0,0,0,1
car11,car11,60,000001,000673,337,1,337,11,1,0,1,0,1,1,0,0,0,1,1,1
car12,car12,96,000001,001594,499,1,499,17,1,1,1,0,1,1,0,0,0,1,0,1
car13,car13,96,000001,001325,415,1,415,14,1,0,1,0,0,0,0,0,0,0,1,0
car14,car14,96,000001,004244,1327,1,1327,44,1,1,1,0,1,1,1,0,0,1,1,0
car15,car15,30,000001,000469,469,1,469,16,1,1,1,0,0,1,0,0,0,0,0,1
car16,car16_1,96,000001,001325,415,1,415,14,1,0,1,1,0,1,1,0,0,1,1,0
car16,car16_2,96,001325,006375,1579,415,1993,53,1,1,0,1,0,0,0,0,0,1,1,0
car17,car17,96,000001,003380,1057,1,1057,35,1,1,1,0,0,0,0,0,0,1,1,0
car18,car18,96,000001,003860,1207,1,1207,40,1,1,0,1,0,0,0,0,0,1,1,0
group1,group1_1,30,000001,001333,1333,1,1333,44,1,0,0,0,0,1,0,0,0,0,0,1
group1,group1_2,30,001333,002515,1183,1333,2515,39,1,0,0,0,0,1,0,0,0,0,0,1
group1,group1_3,30,002515,003925,1411,2515,3925,47,1,1,1,0,0,1,0,0,0,1,1,1
group1,group1_4,30,003925,004873,949,3925,4873,32,1,1,0,0,0,1,0,0,1,1,1,1
